JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit,0,Residual X,Residual Y
2459768.745885,9.8260932,0.022,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.147,Z,20.577,20.651,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459768.746441,9.7980036,0.026,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.149,Z,20.816,20.901,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459768.747078,12.7439004,0.058,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.15,Z,20.695,20.641,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459768.747633,12.6727986,0.131,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.152,Z,21.756,21.7,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459768.748356,14.9866794,0.512,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.154,Z,21.93,21.857,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459768.749086,14.889243599999999,0.341,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.156,Z,21.528,21.326,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459770.768767,9.78747,0.014,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.253,Z,19.825,19.873,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459770.769323,9.796248,0.014,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.255,Z,19.813,19.848,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459770.769948,12.690354600000001,0.037,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.258,Z,19.884,19.795,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459770.770503,12.700010400000002,0.04,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.261,Z,19.922,19.807,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459770.771574,15.1429278,0.359,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.266,Z,20.185,20.047,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459770.772998,15.049881000000001,0.338,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.273,Z,20.196,20.065,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459771.741036,9.809415000000001,0.018,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.157,Z,20.014,20.055,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459771.741591,9.800636999999998,0.02,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.158,Z,20.084,20.13,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459771.742228,12.6736764,0.056,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.16,Z,20.246,20.094,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459771.742784,12.7579452,0.053,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.162,Z,20.185,20.08,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459771.743854,15.202618199999998,0.313,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.165,Z,20.403,20.238,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459771.745266,15.2061294,0.312,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.17,Z,20.404,20.195,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459772.738235,9.7690362,0.019,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.157,Z,19.921,19.944,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459772.738791,9.782203200000001,0.018,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.158,Z,19.933,19.946,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459772.739427,12.717566399999999,0.054,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.16,Z,20.017,19.926,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459772.739983,12.671043000000001,0.048,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.162,Z,19.998,19.952,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459772.741053,14.824286400000002,0.246,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.165,Z,20.283,20.133,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459772.742477,14.761962599999999,0.229,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.17,Z,20.292,20.116,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459773.736198,9.8129262,0.02,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.159,Z,19.812,19.903,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459773.736753,9.8278488,0.021,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.16,Z,19.816,19.89,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459773.73739,12.691232399999999,0.065,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.162,Z,20.012,19.856,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459773.737946,12.688599,0.063,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.164,Z,20.002,19.886,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459773.739016,15.084115200000001,0.416,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.167,Z,20.298,20.147,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459773.74044,14.912944200000002,0.404,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.172,Z,20.424,20.268,,NSVS 13967171,VVS,STD,,,,,,0.0,0.0
2459774.733478,9.8015148,0.021,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.159,Z,20.0,20.064,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459774.734034,9.8296044,0.022,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.16,Z,19.992,20.074,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459774.73467,12.7219554,0.063,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.162,Z,20.057,19.994,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459774.735226,12.7605786,0.07,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.164,Z,20.12,19.998,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459774.736296,15.429968399999998,0.588,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.167,Z,20.412,20.251,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459774.73772,14.7128058,0.274,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.172,Z,20.374,20.218,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459776.727784,9.8497938,0.02,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.158,Z,20.13,20.231,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459776.728339,9.8041482,0.02,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.16,Z,20.151,20.197,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459776.728976,12.6701652,0.052,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.162,Z,20.28,20.15,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459776.729531,12.758823,0.054,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.163,Z,20.27,20.152,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459776.730602,14.9998464,0.304,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.167,Z,20.665,20.5,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459776.732025,15.516870599999999,0.559,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.171,Z,20.696,20.528,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459777.725006,9.8366268,0.011,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.158,Z,19.348,19.41,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459777.725561,9.8155596,0.011,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.159,Z,19.364,19.39,,NSVS 13967171,VVS,STD,,,,,,-9999.99,-9999.99
2459777.726198,12.7316112,0.023,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.161,Z,19.434,19.338,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459777.726753,12.7737456,0.024,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.163,Z,19.414,19.316,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459777.727824,14.904166199999999,0.111,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.167,Z,19.701,19.503,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459777.729248,15.172772999999998,0.144,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.171,Z,19.692,19.522,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459778.722274,9.8304822,0.011,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.158,Z,19.434,19.478,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459778.722818,9.8375046,0.011,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.159,Z,19.428,19.476,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459778.723455,12.732489000000001,0.023,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.161,Z,19.504,19.42,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459778.72401,12.7447782,0.024,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.163,Z,19.514,19.415,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459778.725081,14.973512399999999,0.11,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.166,Z,19.773,19.625,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459778.726505,15.0525144,0.121,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.171,Z,19.79,19.608,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459779.719439,9.809415000000001,0.011,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.157,Z,19.481,19.52,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459779.719994,9.8287266,0.011,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.159,Z,19.447,19.496,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459779.720631,12.7482894,0.023,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.161,Z,19.554,19.459,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459779.721186,12.7166886,0.023,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.163,Z,19.573,19.464,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459779.722257,14.849742599999999,0.078,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.166,Z,19.773,19.607,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459779.723681,15.1130826,0.127,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.171,Z,19.768,19.591,,NSVS 13967171,VVS,STD,,,,,,0.0,0.0
2459780.716696,9.8585718,0.011,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.157,Z,19.386,19.429,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459780.717251,9.835749000000002,0.011,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.159,Z,19.405,19.452,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459780.717888,12.7474116,0.022,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.161,Z,19.484,19.381,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459780.718443,12.7772568,0.023,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.163,Z,19.508,19.397,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459780.719514,15.0481254,0.093,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.166,Z,19.771,19.616,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459780.720938,15.1104492,0.118,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.171,Z,19.791,19.61,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459799.664728,9.7953702,0.041,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.157,Z,19.39,19.413,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459799.665284,9.7865922,0.04,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.159,Z,19.403,19.412,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459799.66592,12.6736764,0.03,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.161,Z,19.475,19.365,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459799.666476,12.721077600000001,0.042,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.162,Z,19.473,19.364,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459799.667546,15.0253026,0.143,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.166,Z,19.751,19.563,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459799.66897,15.154339200000003,0.14,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.17,Z,19.695,19.54,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459800.662031,9.8041482,0.012,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.157,Z,19.388,19.434,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459800.662587,9.791858999999999,0.012,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.159,Z,19.41,19.441,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459800.663223,12.640320000000001,0.029,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.161,Z,19.514,19.399,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459800.663779,12.6587538,0.029,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.163,Z,19.505,19.388,,NSVS 13967171,VVS,STD,,,,,,0.0,0.0
2459800.66485,14.6970054,0.126,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.166,Z,19.754,19.575,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459800.666273,14.834819999999997,0.14,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.171,Z,19.756,19.615,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459801.659161,9.7980036,0.013,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.157,Z,19.398,19.436,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459801.659716,9.8041482,0.013,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.159,Z,19.38,19.433,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459801.660353,12.6745542,0.036,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.16,Z,19.484,19.365,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459801.660909,12.7079106,0.035,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.162,Z,19.495,19.368,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459801.661979,15.030569400000003,0.192,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.166,Z,19.751,19.572,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459801.663403,15.111327000000003,0.209,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.17,Z,19.738,19.572,,NSVS 13967171,VVS,STD,,,,,,0.0,0.0
2459802.670041,9.822582,0.015,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.203,Z,19.797,19.847,,NSVS 13967171,VVS,STD,,,,,,-9999.99,-9999.99
2459802.670584,9.772547399999999,0.016,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.206,Z,19.823,19.83,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459802.671221,12.640320000000001,0.042,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.208,Z,19.932,19.816,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459802.671777,12.756189599999999,0.048,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.21,Z,19.897,19.771,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459802.672847,14.859398400000003,0.222,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.215,Z,20.145,19.971,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459802.674271,15.163995,0.296,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.221,Z,20.179,19.983,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459803.653663,9.791858999999999,0.012,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.157,Z,19.434,19.455,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459803.654219,9.7953702,0.012,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.158,Z,19.397,19.451,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459803.654855,12.6859656,0.037,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.16,Z,19.474,19.359,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459803.655411,12.6815766,0.031,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.162,Z,19.465,19.357,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459803.656481,14.991946200000001,0.215,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.165,Z,19.713,19.54,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459803.657905,15.089382000000002,0.232,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.17,Z,19.707,19.519,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459806.645307,9.8085372,0.012,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.156,Z,19.543,19.593,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459806.645862,9.781325400000002,0.012,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.158,Z,19.473,19.479,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459806.646499,12.696499200000002,0.025,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.16,Z,19.525,19.404,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459806.647054,12.7079106,0.024,,V,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 13.414  K = 13.346,0.0,1.162,Z,19.518,19.404,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459806.648125,14.897143800000002,0.118,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.165,Z,19.819,19.645,,NSVS 13967171,VVS,STD,,,,,,0.0,0.0
2459806.649549,15.056903400000001,0.135,,B,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 14.441  K = 14.260,0.0,1.169,Z,19.828,19.65,,NSVS 13967171,VVS,STD,,,,,,934.9911397819204,743.8028396870322
2459807.613524,9.7953702,0.011,,I,HMB,,UCAC4 438-086957,UCAC4 438-087153,X28069UD,STANDARD MAG: C = 12.113  K = 12.231,0.0,1.093,Z,19.444,19.48,,NSVS 13967171,VVS,STD,,,,,,-9999.99,-9999.99
